data,remetente,assunto,status
2026-05-01 08:00:42,,Res: Gustavo Salvador,Spam
2026-05-01 09:43:56,,O hidronegócio nos rios brasileiros e seus impactos socioambientais,Spam
2026-05-02 00:52:48,,Para você que cansou de carregar esse fardo sozinho(a),Spam
2026-05-02 00:54:04,,Divulgue para MILHÕES DE EMAILS - Preço de custo,Spam
2026-05-02 08:38:44,,Consulte CPF e CNPJ com rapidez e segurança,Spam
2026-05-02 15:11:17,,Divulgue para MILHÕES DE EMAILS - Preço de custo,Spam
2026-05-02 18:18:45,,Lançamento: Manual de Reeducação Alimentar,Spam
2026-05-02 20:58:06,,teste 2026 05,Entregue
2026-05-02 23:14:05,,Teste_2026_05,Entregue
2026-05-02 23:16:04,,2026 05  teste 2,Entregue
2026-05-04 17:03:34,,Acesso rápido: veja a reclamação registrada,Spam
2026-05-05 11:06:07,,Divulgue para MILHÕES DE EMAILS - Preço de custo,Spam
2026-05-05 11:24:03,, IMPORTANTE - Receita Federal ,Spam
2026-05-05 21:11:34,,Currículo - Nathalia Xavier Cunha,Spam
2026-05-06 14:59:16,,,Falhou
2026-05-07 09:00:56,,Documento eletrônico 6006419736 disponível às 06:00,Spam
2026-05-07 09:59:21,,ESTUDE DE GRAÇA E MUDE SEU FUTURO,Spam
2026-05-07 10:10:31,,Documento Fiscal: Boleto e NFS-e Nº 28365,Spam
2026-05-07 22:34:38,,Divulgue para MILHÕES DE EMAILS - Preço de custo,Spam
2026-05-09 01:58:57,,Nota Fiscal Eletrônica Nº 61205 emitida em seu nome,Spam
2026-05-09 17:00:19,,Email lists 100% VALID - Any country in the world,Spam
2026-05-11 06:12:43,,Fatura Vivo Móvel 63577517 disponível no portal,Spam
2026-05-12 01:16:12,,Trabalhamos com locação de equipamentos de Informática e Audiovisual em geral.,Spam
2026-05-13 12:08:54,,Nota Fiscal Eletrônica Nº 49333 para conferência,Spam
2026-05-14 00:41:17,,,Falhou
2026-05-14 05:54:50,,"Destaques do dia – Economia, Segurança, Crime, Agronegócio e Política",Spam
2026-05-15 01:35:41,,Re:Professional foreign trade agency services,Spam
2026-05-15 17:19:14,,teste 15/05/2026,Entregue
2026-05-17 11:08:18,,Divulgue para até 200 MILHÕES DE EMAILS - Boom de vendas,Spam
2026-05-18 03:44:31,,Currículo Francisca Silva Freitas,Spam
2026-05-18 03:45:07,,Currículo Francisca Silva Freitas,Spam
2026-05-18 07:12:07,,Nota 413187 referente à sua compra,Falhou
2026-05-18 20:40:33,,Teste,Entregue
2026-05-18 21:23:44,,"LE este email, ou algo terrivel acontecerá.",Spam
2026-05-20 04:04:14,,Divulgue para MILHÕES DE EMAILS - Preço de custo,Spam
2026-05-20 18:37:26,,Currículo - Renata Cardoso,Spam
2026-05-20 19:01:45,,,Falhou
2026-05-20 19:02:00,,,Falhou
2026-05-20 20:17:38,,Divulgue para até 200 MILHÕES DE EMAILS - Boom de vendas,Spam
2026-05-20 20:27:12,,Divulgue para até 200 MILHÕES DE EMAILS - Boom de vendas,Spam
2026-05-20 20:29:22,,Divulgue para até 200 MILHÕES DE EMAILS - Boom de vendas,Spam
2026-05-20 20:31:10,,Conclua com Docusing: DOCUMENTO_9CKC153O5A5.DIGITAL.PIDKFUDM40WZWK0MNGV4Z1Y.WWUSWKN.pdf,Spam
2026-05-20 20:31:39,,Conclua com Docusing: DOCUMENTO_2C08952MD.DIGITAL.YMQPRHIGP0MWERPXBF.KWMMRXHD.pdf,Spam
2026-05-20 20:36:49,,Divulgue para até 200 MILHÕES DE EMAILS - Boom de vendas,Spam
2026-05-20 20:45:45,,Mensagem de notificação: reclamação registrada,Spam
2026-05-20 20:45:47,,Reclamação registrada nesta data: veja os detalhes,Spam
2026-05-21 10:38:53,,Consulte CPF e CNPJ com rapidez e segurança,Spam
2026-05-21 11:06:43,,Expansão Carteira PJ - Beng Engenharia,Entregue
2026-05-21 20:28:53,,Currículo - Aline Bastos Magalhaes,Spam
2026-05-21 20:28:57,,Currículo - Leonardo Pimentel,Spam
2026-05-21 20:52:47,,Currículo - Paula Lopes,Spam
2026-05-21 20:52:50,,Currículo - Isabela Monteiro,Spam
2026-05-21 20:52:59,,Currículo - Diego Fonseca,Spam
2026-05-22 03:10:53,,Divulgue para MILHÕES DE EMAILS - Preço de custo,Spam
2026-05-22 13:03:32,,Divulgue para MILHÕES DE EMAILS - Preço de custo,Spam
2026-05-22 16:22:41,,Divulgue para MILHÕES DE EMAILS - Preço de custo,Spam
2026-05-22 17:31:22,,Assinar documento: DOCUMENTO.compliance@beng.eng.br.docx,Spam
2026-05-22 17:49:33,,Guia para pagamento [IRPJ-MENSAL] - Vencimento: 25/05/2026,Spam
2026-05-22 17:49:35,,Guia para pagamento [IRPJ-MENSAL] - Vencimento: 25/05/2026,Spam
2026-05-22 17:49:41,,Guia para pagamento [IRPJ-MENSAL] - Vencimento: 25/05/2026,Spam
2026-05-22 17:49:58,,Guia para pagamento [IRPJ-MENSAL] - Vencimento: 25/05/2026,Spam
2026-05-22 18:23:49,,Divulgue para MILHÕES DE EMAILS - Preço de custo,Spam
2026-05-22 23:30:40,,Guia para pagamento [IRPJ-MENSAL] - Vencimento: 25/05/2026,Spam
2026-05-22 23:30:46,,Guia para pagamento [IRPJ-MENSAL] - Vencimento: 25/05/2026,Spam
2026-05-23 01:16:52,,Alerta: Pedágios em aberto,Spam
2026-05-23 10:28:58,,Divulgue para MILHÕES DE EMAILS - Preço de custo,Spam
2026-05-23 23:05:38,,Divulgue para MILHÕES DE EMAILS - Preço de custo,Spam
2026-05-24 01:51:47,,2ª VARA DO TRABALHO ATSUM 9250719-41.2024.2.41.7672,Spam
2026-05-24 04:38:17,,Re:Door to Door air shipping,Spam
2026-05-25 18:15:16,,Guia para pagamento [IRPJ-MENSAL] - Vencimento: 26/05/2026,Spam
2026-05-26 13:50:06,,Revolucione sua comunicação pelas mensagens,Spam
2026-05-26 13:56:22,,Pendência Financeira – Prazo para Regularização,Spam
2026-05-26 15:08:07,,Notificação: nova reclamação de cliente registrada,Spam
2026-05-26 20:29:39,,Currículo - Vinicius Oliveira Campos,Spam
2026-05-26 20:45:42,,,Falhou
2026-05-26 21:07:06,,Aviso de vencimento em aberto,Spam
2026-05-27 21:40:19,,Currículo - Rafael da Silva,Spam
2026-05-27 21:40:50,,Currículo - Bruno Santos,Spam
2026-05-27 21:40:50,,Currículo - Vinicius Oliveira Campos,Spam
2026-05-28 18:43:49,,Guia para pagamento [IRPJ-MENSAL] - Vencimento: 29/05/2026,Spam
2026-05-28 20:47:48,,Guia para pagamento [IRPJ-MENSAL] - Vencimento: 29/05/2026,Spam
2026-05-29 16:19:45,,Divulgue para MILHÕES DE EMAILS - Preço de custo,Spam
2026-05-30 00:03:57,,Sua nota 188256 foi registrada com sucesso,Falhou
2026-05-30 22:04:29,,Res: Gustavo Salvador,Spam
2026-05-31 00:06:29,,Divulgue para MILHÕES DE EMAILS - Preço de custo,Entregue
2026-05-31 04:24:33,,Confirmação: sua nota 292637 foi processada,Falhou
2026-05-31 08:45:43,,Trusted by Clients Worldwide Since 1992,Entregue
