data_evento,message_id,remetente_estimado,assunto,etapa,detalhe_smtp,tamanho_bytes,anexos,status_final
2026-07-01 03:40:27,<6a448c2b.fcb47948.3be2b0.c28bSMTPIN_ADDED_MISSING@mx.google.com>,,Automatize seu atendimento e aumente suas vendas com a Okto,RECEBIDO (SMTP),"550-5.7.1 [117.188.5.92] The IP you're using to send mail is not authorized to 550-5.7.1 send email directly to our servers. Please use the SMTP relay at your 550-5.7.1 service provider instead. For more information, go to 550 5.7.1 https://support.google.com/mail/?p=NotAuthorizedError",3300,0,Rejeitado (definitivo)
2026-07-01 03:40:27,<6a448c2b.fcb47948.3be2b0.c28bSMTPIN_ADDED_MISSING@mx.google.com>,,Automatize seu atendimento e aumente suas vendas com a Okto,REJEITADO,,3468,0,Rejeitado (definitivo)
2026-07-01 11:20:02,<20260614092505.0794310E4C63@fjsanyuan.com>,fjsanyuan.com (estimado),Webinar AO VIVO | WhatsApp ainda é uma máquina de vendas,RECEBIDO (SMTP),"550-5.7.1 [222.76.179.239] The IP you're using to send mail is not authorized to 550-5.7.1 send email directly to our servers. Please use the SMTP relay at your 550-5.7.1 service provider instead. For more information, go to 550 5.7.1 https://support.google.com/mail/?p=NotAuthorizedError",4135,0,Rejeitado (definitivo)
2026-07-01 11:20:03,<20260614092505.0794310E4C63@fjsanyuan.com>,fjsanyuan.com (estimado),Webinar AO VIVO | WhatsApp ainda é uma máquina de vendas,REJEITADO,,4302,0,Rejeitado (definitivo)
2026-07-01 19:16:14,<20260701191613.7D03746326@relatorio02b.bolsasrogan.cfd>,relatorio02b.bolsasrogan.cfd (estimado),Currículo - Gabriel Rocha,RECEBIDO (SMTP),"550-5.7.1 [178.172.173.158 19] Gmail has detected that this message is 550-5.7.1 likely suspicious due to the very low reputation of the sending 550-5.7.1 domain. To best protect our users from spam, the message has been 550-5.7.1 blocked. For more information, go to 550 5.7.1 https://support.google.com/mail/answer/188131",5934,0,Rejeitado (definitivo)
2026-07-01 19:16:14,<20260701191613.7D03746326@relatorio02b.bolsasrogan.cfd>,relatorio02b.bolsasrogan.cfd (estimado),Currículo - Gabriel Rocha,REJEITADO,,6102,0,Rejeitado (definitivo)
2026-07-01 19:16:33,<20260701191613.7D03746326@relatorio02b.bolsasrogan.cfd>,relatorio02b.bolsasrogan.cfd (estimado),Currículo - Gabriel Rocha,RECEBIDO (SMTP),"550-5.7.1 [178.172.173.158 19] Gmail has detected that this message is 550-5.7.1 likely suspicious due to the very low reputation of the sending 550-5.7.1 domain. To best protect our users from spam, the message has been 550-5.7.1 blocked. For more information, go to 550 5.7.1 https://support.google.com/mail/answer/188131",5934,0,Rejeitado (definitivo)
2026-07-01 19:16:33,<20260701191613.7D03746326@relatorio02b.bolsasrogan.cfd>,relatorio02b.bolsasrogan.cfd (estimado),Currículo - Gabriel Rocha,REJEITADO,,6100,0,Rejeitado (definitivo)
2026-07-01 20:03:52,<6a4572a9.50ac3a49.57ac1.ab41SMTPIN_ADDED_MISSING@mx.google.com>,,Dúvida rápida sobre o seu site,RECEBIDO (SMTP),"550-5.7.1 [13.48.125.188 19] Gmail has detected that this message is likely 550-5.7.1 suspicious due to the very low reputation of the sending domain. To 550-5.7.1 best protect our users from spam, the message has been blocked. For 550-5.7.1 more information, go to 550 5.7.1 https://support.google.com/mail/answer/188131",5418,0,Rejeitado (definitivo)
2026-07-01 20:03:53,<6a4572a9.50ac3a49.57ac1.ab41SMTPIN_ADDED_MISSING@mx.google.com>,,Dúvida rápida sobre o seu site,REJEITADO,,5583,0,Rejeitado (definitivo)
2026-07-02 02:16:34,<178295850543.691840.3147815937008166187@funvztoks.xyz>,funvztoks.xyz (estimado),MÚSICA AO VIVO NA SUA FESTA,RECEBIDO (SMTP),"550-5.7.1 [23.137.105.47 19] Gmail has detected that this message is likely 550-5.7.1 suspicious due to the very low reputation of the sending domain. To 550-5.7.1 best protect our users from spam, the message has been blocked. For 550-5.7.1 more information, go to 550 5.7.1 https://support.google.com/mail/answer/188131",3129,0,Rejeitado (definitivo)
2026-07-02 02:16:34,<178295850543.691840.3147815937008166187@funvztoks.xyz>,funvztoks.xyz (estimado),MÚSICA AO VIVO NA SUA FESTA,REJEITADO,,3296,0,Rejeitado (definitivo)
2026-07-02 03:01:53,<178296126965.691840.10172372267724830080@nighertz.cyou>,nighertz.cyou (estimado),Webinar AO VIVO | WhatsApp ainda é uma máquina de vendas,RECEBIDO (SMTP),"550-5.7.1 [23.137.105.47 19] Gmail has detected that this message is likely 550-5.7.1 suspicious due to the very low reputation of the sending domain. To 550-5.7.1 best protect our users from spam, the message has been blocked. For 550-5.7.1 more information, go to 550 5.7.1 https://support.google.com/mail/answer/188131",4926,0,Rejeitado (definitivo)
2026-07-02 03:01:53,<178296126965.691840.10172372267724830080@nighertz.cyou>,nighertz.cyou (estimado),Webinar AO VIVO | WhatsApp ainda é uma máquina de vendas,REJEITADO,,5094,0,Rejeitado (definitivo)
2026-07-02 12:27:14,<20260614142832.A76CF10F319C@fjsanyuan.com>,fjsanyuan.com (estimado),Transforme Seu Ambiente com Pisos e Tapetes de Alta Qualidade | Espaço & Cia,RECEBIDO (SMTP),"550-5.7.1 [222.76.179.239] The IP you're using to send mail is not authorized to 550-5.7.1 send email directly to our servers. Please use the SMTP relay at your 550-5.7.1 service provider instead. For more information, go to 550 5.7.1 https://support.google.com/mail/?p=NotAuthorizedError",3379,0,Rejeitado (definitivo)
2026-07-02 12:27:14,<20260614142832.A76CF10F319C@fjsanyuan.com>,fjsanyuan.com (estimado),Transforme Seu Ambiente com Pisos e Tapetes de Alta Qualidade | Espaço & Cia,REJEITADO,,3545,0,Rejeitado (definitivo)
2026-07-02 18:16:04,<20260702181538.3076024537@relatorio02b.bolsasofia.cfd>,relatorio02b.bolsasofia.cfd (estimado),Guia para pagamento [IRPJ-MENSAL] - Vencimento: 10/07/2026,RECEBIDO (SMTP),"421-4.7.28 Gmail has detected an unusual rate of unsolicited mail originating 421-4.7.28 from your IP Netblock [178.172.235.69 34]. To protect our users 421-4.7.28 from spam, mail sent from your IP Netblock has been temporarily rate 421-4.7.28 limited. For more information, go to 421-4.7.28 https://support.google.com/mail/?p=UnsolicitedRateLimitError to 421 4.7.28 review our Bulk Email Senders Guidelines.",7013,0,Rejeitado (temporário)
2026-07-02 18:16:04,<20260702181538.3076024537@relatorio02b.bolsasofia.cfd>,relatorio02b.bolsasofia.cfd (estimado),Guia para pagamento [IRPJ-MENSAL] - Vencimento: 10/07/2026,REJEITADO,,7179,0,Rejeitado (temporário)
2026-07-02 18:16:04,<20260702181538.3076024537@relatorio02b.bolsasofia.cfd>,relatorio02b.bolsasofia.cfd (estimado),Guia para pagamento [IRPJ-MENSAL] - Vencimento: 10/07/2026,RECEBIDO (SMTP),"421-4.7.28 Gmail has detected an unusual rate of mail originating from your DKIM 421-4.7.28 domain [relatorio02b.bolsasofia.cfd 36]. To protect our users 421-4.7.28 from spam, mail sent from your domain has been temporarily rate 421-4.7.28 limited. For more information, go to 421-4.7.28 https://support.google.com/mail/?p=UnsolicitedRateLimitError to 421 4.7.28 review our Bulk Email Senders Guidelines.",7013,0,Rejeitado (temporário)
2026-07-02 18:16:04,<20260702181538.3076024537@relatorio02b.bolsasofia.cfd>,relatorio02b.bolsasofia.cfd (estimado),Guia para pagamento [IRPJ-MENSAL] - Vencimento: 10/07/2026,REJEITADO,,7180,0,Rejeitado (temporário)
2026-07-02 18:16:18,<20260702181538.3076024537@relatorio02b.bolsasofia.cfd>,relatorio02b.bolsasofia.cfd (estimado),Guia para pagamento [IRPJ-MENSAL] - Vencimento: 10/07/2026,RECEBIDO (SMTP),"421-4.7.28 Gmail has detected an unusual rate of mail originating from your DKIM 421-4.7.28 domain [relatorio02b.bolsasofia.cfd 36]. To protect our users 421-4.7.28 from spam, mail sent from your domain has been temporarily rate 421-4.7.28 limited. For more information, go to 421-4.7.28 https://support.google.com/mail/?p=UnsolicitedRateLimitError to 421 4.7.28 review our Bulk Email Senders Guidelines.",7013,0,Rejeitado (temporário)
2026-07-02 18:16:18,<20260702181538.3076024537@relatorio02b.bolsasofia.cfd>,relatorio02b.bolsasofia.cfd (estimado),Guia para pagamento [IRPJ-MENSAL] - Vencimento: 10/07/2026,REJEITADO,,7179,0,Rejeitado (temporário)
2026-07-02 18:16:18,<20260702181538.3076024537@relatorio02b.bolsasofia.cfd>,relatorio02b.bolsasofia.cfd (estimado),Guia para pagamento [IRPJ-MENSAL] - Vencimento: 10/07/2026,RECEBIDO (SMTP),"421-4.7.28 Gmail has detected an unusual rate of unsolicited mail originating 421-4.7.28 from your IP Netblock [178.172.235.69 34]. To protect our users 421-4.7.28 from spam, mail sent from your IP Netblock has been temporarily rate 421-4.7.28 limited. For more information, go to 421-4.7.28 https://support.google.com/mail/?p=UnsolicitedRateLimitError to 421 4.7.28 review our Bulk Email Senders Guidelines.",7013,0,Rejeitado (temporário)
2026-07-02 18:16:19,<20260702181538.3076024537@relatorio02b.bolsasofia.cfd>,relatorio02b.bolsasofia.cfd (estimado),Guia para pagamento [IRPJ-MENSAL] - Vencimento: 10/07/2026,REJEITADO,,7179,0,Rejeitado (temporário)
2026-07-02 18:44:40,<2E3A41F713034344822D4B5B1584D0A4.MAI@magis4you.adm.br>,magis4you.adm.br (estimado),"Nos dias 14, 15 e 16 / julho - Negociação para Compradores com IA no Planejamento, Execução e Encerramento",RECEBIDO (SMTP),"550-5.7.28 [195.154.134.26 1] Gmail has detected an unusual rate of 550-5.7.28 unsolicited mail originating from your IP address. To protect our 550-5.7.28 users from spam, mail sent from your IP address has been blocked. 550-5.7.28 For more information, go to 550-5.7.28 https://support.google.com/mail/?p=UnsolicitedIPError to review our 550 5.7.28 Bulk Email Senders Guidelines.",45233,0,Rejeitado (definitivo)
2026-07-02 18:44:40,<2E3A41F713034344822D4B5B1584D0A4.MAI@magis4you.adm.br>,magis4you.adm.br (estimado),"Nos dias 14, 15 e 16 / julho - Negociação para Compradores com IA no Planejamento, Execução e Encerramento",REJEITADO,,45398,0,Rejeitado (definitivo)
2026-07-02 20:28:19,<0.0.0.F4.1DD0A61515BF4E6.430D7@mail2220.delibird-emkt0001.lwdlv.com.br>,mail2220.delibird-emkt0001.lwdlv.com.br (estimado),Alinhamento - Proposta Claro Empresas,RECEBIDO (SMTP),250 2.0.0 OK,7347,0,Entregue (caixa de SPAM)
2026-07-02 20:28:20,<0.0.0.F4.1DD0A61515BF4E6.430D7@mail2220.delibird-emkt0001.lwdlv.com.br>,mail2220.delibird-emkt0001.lwdlv.com.br (estimado),Alinhamento - Proposta Claro Empresas,PROCESSADO,,7514,0,Entregue (caixa de SPAM)
2026-07-02 20:28:20,<0.0.0.F4.1DD0A61515BF4E6.430D7@mail2220.delibird-emkt0001.lwdlv.com.br>,mail2220.delibird-emkt0001.lwdlv.com.br (estimado),Alinhamento - Proposta Claro Empresas,ENTREGUE (caixa de SPAM),,7514,0,Entregue (caixa de SPAM)
2026-07-03 09:11:34,<20260703T091130Z.5815690964150931922@contato9.justrabalho.com>,contato9.justrabalho.com (estimado),Notificação de assinatura digital,RECEBIDO (SMTP),"550-5.7.1 [194.38.22.192 18] Gmail has detected that this message is likely 550-5.7.1 suspicious due to the very low reputation of the sending IP address. 550-5.7.1 To best protect our users from spam, the message has been blocked. 550-5.7.1 For more information, go to 550 5.7.1 https://support.google.com/mail/answer/188131",9367,0,Rejeitado (definitivo)
2026-07-03 09:11:34,<20260703T091130Z.5815690964150931922@contato9.justrabalho.com>,contato9.justrabalho.com (estimado),Notificação de assinatura digital,REJEITADO,,9535,0,Rejeitado (definitivo)
2026-07-03 11:59:58,<asqofvtbkdey.1783079997763347900@b1c268c2.brosty.com>,b1c268c2.brosty.com (estimado),ENC:Currículo-Beatriz Oliveira,RECEBIDO (SMTP),"550-5.7.1 [185.243.96.134 18] Gmail has detected that this message is 550-5.7.1 likely suspicious due to the very low reputation of the sending IP 550-5.7.1 address. To best protect our users from spam, the message has been 550-5.7.1 blocked. For more information, go to 550 5.7.1 https://support.google.com/mail/answer/188131",4221,0,Rejeitado (definitivo)
2026-07-03 11:59:59,<asqofvtbkdey.1783079997763347900@b1c268c2.brosty.com>,b1c268c2.brosty.com (estimado),ENC:Currículo-Beatriz Oliveira,REJEITADO,,4388,0,Rejeitado (definitivo)
2026-07-03 13:16:23,<6a47b628.d234c8c1.24085c.aef0SMTPIN_ADDED_MISSING@mx.google.com>,,"Descubra o Elixi do Comendador — Exclusivo, Natural e Brasileiro",RECEBIDO (SMTP),"550-5.7.1 [117.188.5.92] The IP you're using to send mail is not authorized to 550-5.7.1 send email directly to our servers. Please use the SMTP relay at your 550-5.7.1 service provider instead. For more information, go to 550 5.7.1 https://support.google.com/mail/?p=NotAuthorizedError",3199,0,Rejeitado (definitivo)
2026-07-03 13:16:24,<6a47b628.d234c8c1.24085c.aef0SMTPIN_ADDED_MISSING@mx.google.com>,,"Descubra o Elixi do Comendador — Exclusivo, Natural e Brasileiro",REJEITADO,,3367,0,Rejeitado (definitivo)
2026-07-03 20:28:38,<20260331043004.1725275A7936@ix-quant.com>,ix-quant.com (estimado),O hidronegócio nos rios brasileiros e seus impactos socioambientais,RECEBIDO (SMTP),"550-5.7.1 [222.35.7.119] The IP you're using to send mail is not authorized to 550-5.7.1 send email directly to our servers. Please use the SMTP relay at your 550-5.7.1 service provider instead. For more information, go to 550 5.7.1 https://support.google.com/mail/?p=NotAuthorizedError",4630,0,Rejeitado (definitivo)
2026-07-03 20:28:38,<20260331043004.1725275A7936@ix-quant.com>,ix-quant.com (estimado),O hidronegócio nos rios brasileiros e seus impactos socioambientais,REJEITADO,,4797,0,Rejeitado (definitivo)
2026-07-04 17:20:32,<7AE24B564F3E4DA88D4107EDFB953144.MAI@mail.lknidhi.com>,mail.lknidhi.com (estimado),Liquidação: Tapete de Couro Preto 150x200 R$756,RECEBIDO (SMTP),"550-5.7.1 [103.14.97.89 19] Gmail has detected that this message is likely 550-5.7.1 suspicious due to the very low reputation of the sending domain. To 550-5.7.1 best protect our users from spam, the message has been blocked. For 550-5.7.1 more information, go to 550 5.7.1 https://support.google.com/mail/answer/188131",4253,0,Rejeitado (definitivo)
2026-07-04 17:20:33,<7AE24B564F3E4DA88D4107EDFB953144.MAI@mail.lknidhi.com>,mail.lknidhi.com (estimado),Liquidação: Tapete de Couro Preto 150x200 R$756,REJEITADO,,4418,0,Rejeitado (definitivo)
2026-07-05 17:39:23,<FA4697EBCB3444C181A3D63D197A3C02.MAI@mail.lknidhi.com>,mail.lknidhi.com (estimado),Reduza Custos e Regularize a Gestão Ambiental da Sua Empresa com a Ambiservice,RECEBIDO (SMTP),"550-5.7.1 [103.14.97.89 18] Gmail has detected that this message is likely 550-5.7.1 suspicious due to the very low reputation of the sending IP address. 550-5.7.1 To best protect our users from spam, the message has been blocked. 550-5.7.1 For more information, go to 550 5.7.1 https://support.google.com/mail/answer/188131",5002,0,Rejeitado (definitivo)
2026-07-05 17:39:24,<FA4697EBCB3444C181A3D63D197A3C02.MAI@mail.lknidhi.com>,mail.lknidhi.com (estimado),Reduza Custos e Regularize a Gestão Ambiental da Sua Empresa com a Ambiservice,REJEITADO,,5169,0,Rejeitado (definitivo)
2026-07-08 20:17:06,<20260708201243.4D8112479D@mail4.upatech.online>,mail4.upatech.online (estimado),,RECEBIDO (SMTP),"421-4.7.28 Gmail has detected an unusual rate of unsolicited mail. To protect 421-4.7.28 our users from spam, mail has been temporarily rate limited. For 421-4.7.28 more information, go to 421-4.7.28 https://support.google.com/mail/?p=UnsolicitedRateLimitError to 421 4.7.28 review our Bulk Email Senders Guidelines.",0,0,Rejeitado (temporário)
2026-07-08 20:17:06,<20260708201243.4D8112479D@mail4.upatech.online>,mail4.upatech.online (estimado),,RECEBIDO (SMTP),"421-4.7.28 Gmail has detected an unusual rate of unsolicited mail. To protect 421-4.7.28 our users from spam, mail has been temporarily rate limited. For 421-4.7.28 more information, go to 421-4.7.28 https://support.google.com/mail/?p=UnsolicitedRateLimitError to 421 4.7.28 review our Bulk Email Senders Guidelines.",0,0,Rejeitado (temporário)
2026-07-08 20:27:01,<20260708201243.4D8112479D@mail4.upatech.online>,mail4.upatech.online (estimado),,RECEBIDO (SMTP),"421-4.7.28 Gmail has detected an unusual rate of unsolicited mail. To protect 421-4.7.28 our users from spam, mail has been temporarily rate limited. For 421-4.7.28 more information, go to 421-4.7.28 https://support.google.com/mail/?p=UnsolicitedRateLimitError to 421 4.7.28 review our Bulk Email Senders Guidelines.",0,0,Rejeitado (temporário)
2026-07-08 20:27:01,<20260708201243.4D8112479D@mail4.upatech.online>,mail4.upatech.online (estimado),,RECEBIDO (SMTP),"421-4.7.28 Gmail has detected an unusual rate of unsolicited mail. To protect 421-4.7.28 our users from spam, mail has been temporarily rate limited. For 421-4.7.28 more information, go to 421-4.7.28 https://support.google.com/mail/?p=UnsolicitedRateLimitError to 421 4.7.28 review our Bulk Email Senders Guidelines.",0,0,Rejeitado (temporário)
2026-07-08 20:44:41,<20260708201243.4D8112479D@mail4.upatech.online>,mail4.upatech.online (estimado),,RECEBIDO (SMTP),"421-4.7.28 Gmail has detected an unusual rate of unsolicited mail. To protect 421-4.7.28 our users from spam, mail has been temporarily rate limited. For 421-4.7.28 more information, go to 421-4.7.28 https://support.google.com/mail/?p=UnsolicitedRateLimitError to 421 4.7.28 review our Bulk Email Senders Guidelines.",0,0,Rejeitado (temporário)
2026-07-08 20:44:42,<20260708201243.4D8112479D@mail4.upatech.online>,mail4.upatech.online (estimado),,RECEBIDO (SMTP),"421-4.7.28 Gmail has detected an unusual rate of unsolicited mail. To protect 421-4.7.28 our users from spam, mail has been temporarily rate limited. For 421-4.7.28 more information, go to 421-4.7.28 https://support.google.com/mail/?p=UnsolicitedRateLimitError to 421 4.7.28 review our Bulk Email Senders Guidelines.",0,0,Rejeitado (temporário)
